no,len2
31,27.86
31,26.22
31,26.18
31,25.67
31,25.6
31,24.78
31,24.03
31,23.82
31,22.87
31,22.7
31,21.95
31,21.58
31,21.51
31,21.24
31,21.24
31,21.17
31,20.68
31,20.62
31,20.59
31,20.35
31,20.35
31,20.29
31,20.24
31,20.19
31,20.19
31,20.19
31,19.71
31,19.61
31,19.42
31,19.33
31,19.07
31,19.07
31,18.86
31,18.86
31,18.82
31,18.8
31,18.69
31,18.56
31,18.24
31,18.16
31,18.14
31,17.72
31,17.6
31,17.45
31,17.43
31,17.32
31,17.06
31,17
31,16.86
32,28.66
32,28.26
32,28.14
32,28.04
32,27.27
32,26.68
32,25.83
32,25.6
32,23.71
32,23.58
32,23.58
32,23.35
32,22.51
32,22.23
32,21.82
32,21.56
32,20.89
32,20.46
32,20.06
32,19.99
32,19.38
32,19.16
32,19.09
32,18.9
32,18.65
32,18.65
32,18.61
32,18.53
32,18.53
32,18.25
32,18.16
32,17.89
32,17.85
32,17.8
32,17.64
32,17.62
32,17.04
32,16.99
32,15.96
33,28.93
33,28.91
33,27.47
33,27.15
33,27.01
33,26.35
33,24.02
33,23.92
33,23.78
33,23.37
33,23.32
33,23.25
33,22.8
33,22.78
33,22.78
33,22.03
33,21.9
33,20.97
33,20.96
33,20.33
33,20.29
33,20.24
33,19.81
33,19.59
33,19.41
33,19.3
33,19.19
33,19
33,18.57
33,18.52
33,18.44
33,18.43
33,18.26
33,18.12
33,18.07
33,17.97
33,17.96
33,17.85
33,17.48
33,17.35
33,17.26
33,16.95
34,28.4
34,28.24
34,27.25
34,26.39
34,25.96
34,24.36
34,24.31
34,23.79
34,23.35
34,23.03
34,22.9
34,22.66
34,22.27
34,22.06
34,21.93
34,21.92
34,21.85
34,21.42
34,21.32
34,21.09
34,20.84
34,20.68
34,20.31
34,20.1
34,19.99
34,19.83
34,19.67
34,19.18
34,18.95
34,18.9
34,18.85
34,18.81
34,18.78
34,18.67
34,18.57
34,18.27
34,18.1
34,17.77
34,17.52
34,17.49
34,17.48
34,17.27
34,17.01
34,16.95
34,16.76
34,16.76
34,16.14
34,15.99
34,15.64
35,28.69
35,28.33
35,27.59
35,26.32
35,25.74
35,25.48
35,25.46
35,24.77
35,24.54
35,24.46
35,23.66
35,23.01
35,22.99
35,21.74
35,21.6
35,21.56
35,21.39
35,21.15
35,20.97
35,20.83
35,20.68
35,19.95
35,19.8
35,19.79
35,19.79
35,19.79
35,19.76
35,19.59
35,19.07
35,18.97
35,18.53
35,18.28
35,18.27
35,17.01
36,28.59
36,27.81
36,27.44
36,27.12
36,26.21
36,26.2
36,25.51
36,23.71
36,22.47
36,22.47
36,22.34
36,21.95
36,21.94
36,21.65
36,21.53
36,21.25
36,21.02
36,20.79
36,20.59
36,20.52
36,20.36
36,19.99
36,19.99
36,19.95
36,19.33
36,19.26
36,18.88
36,18.52
36,18.42
36,18.36
36,18.36
36,18.31
36,17.9
36,17.44
36,17.44
36,16.63
37,28.86
37,28.59
37,28.51
37,28.3
37,27.9
37,26.76
37,26.43
37,26.32
37,26.26
37,25.79
37,25.76
37,25.54
37,25.46
37,25.44
37,25.2
37,24.89
37,24.6
37,24.57
37,24.49
37,24.47
37,24.25
37,24.24
37,24.24
37,24.24
37,24.24
37,24.02
37,23.8
37,23.02
37,22.1
37,22.09
37,21.84
37,21.24
37,20.43
37,20.27
37,19.76
37,19.47
37,19.28
37,19.04
37,18.82
37,18.78
37,18.4
37,18.31
37,18.17
37,18.07
37,17.91
37,17.87
37,17.6
37,17.6
37,17.12
37,16.91
37,16.75
37,16.27
38,28.77
38,25.3
38,24.6
38,23.71
38,23.58
38,23.46
38,22.26
38,22.17
38,21.53
38,21.22
38,21.12
38,20.97
38,20.76
38,20.67
38,20.57
38,20.55
38,19.93
38,19.83
38,19.73
38,19.68
38,19.35
38,19.27
38,19.26
